herb_en,herb_cn,pinyin,property,compound,"target (Protein,Enzyme,receptor)",pchembl,pubchem_cid,smiles,MW,LogP,TPSA,HBA,HBD,DL TCMSP
Lonicera japonica,金银花,Jin Yin Hua,Cold,quercetin,Aldo-keto reductase family 1 member B1,5.08,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,302.238,1.988,131.36,7,5,0.28
Lonicera japonica,金银花,Jin Yin Hua,Cold,quercetin,Aldo-keto reductase family 1 member B1,5.11,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,302.238,1.988,131.36,7,5,0.28
Ginkgo biloba,银杏叶,Yin Xing Ye,Neutral,kaempferol,Cytochrome P450 2C9,5.22,5280863,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,286.24,2,111,6,4,0.24
Ginkgo biloba,银杏叶,Yin Xing Ye,Neutral,kaempferol,ATP-dependent translocase ABCB1,5.17,5280863,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,286.24,2,111,6,4,0.24
Ginkgo biloba,银杏叶,Yin Xing Ye,Neutral,kaempferol,Human immunodeficiency virus type 1 integrase,4.01,5280863,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,286.24,2,111,6,4,0.24
Camellia sinensis,绿茶,Lu Cha,Cold,kaempferol,Cytochrome P450 2C9,5.22,5280863,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,286.24,2,111,6,4,0.24
Camellia sinensis,绿茶,Lu Cha,Cold,kaempferol,ATP-dependent translocase ABCB1,5.17,5280863,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,286.24,2,111,6,4,0.24
Camellia sinensis,绿茶,Lu Cha,Cold,kaempferol,Human immunodeficiency virus type 1 integrase,4.01,5280863,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,286.24,2,111,6,4,0.24
Matricaria chamomilla,洋甘菊,Yang Gan Ju,Cold,apigenin,GABA-A receptor; anion channel,6.11,4114,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,270.24,2.7,,5,3,0.21
Matricaria chamomilla,洋甘菊,Yang Gan Ju,Cold,apigenin,Beta-glucuronidase,5.55,4114,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,270.24,2.7,,5,3,0.21
