herb_en,herb_cn,pinyin,property,compound,"target (Protein,Enzyme,receptor)",pchembl,pubchem_cid,smiles,MW,LogP,TPSA,HBA,HBD,DL TCMSP
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,cryptotanshinone,Leishmania major,4.74,160254,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,296.36,4,50,3,1,0.4
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,cryptotanshinone,ADMET,4.64,160254,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,296.36,4,50,3,1,0.4
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,cryptotanshinone,PBMC,4.43,160254,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,296.36,4,50,3,1,0.4
Curcuma longa,姜黄,Jiang Huang,Warm,curcumin,Amyloid-beta precursor protein,9.68,969516,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,368.38,3,90,6,2,0.3
Curcuma longa,姜黄,Jiang Huang,Warm,curcumin,LNCaP,5.42,969516,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,368.38,3,90,6,2,0.3
Curcuma longa,姜黄,Jiang Huang,Warm,curcumin,PC-3,5.11,969516,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,368.38,3,90,6,2,0.3
Curcuma longa,姜黄,Jiang Huang,Warm,curcumin,Prostaglandin G/H synthase 2,4.96,969516,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,368.38,3,90,6,2,0.3
Curcuma longa,姜黄,Jiang Huang,Warm,curcumin,Plasmodium falciparum,4.64,969516,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,368.38,3,90,6,2,0.3
Curcuma longa,姜黄,Jiang Huang,Warm,curcumin,Plasmodium falciparum,4.61,969516,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,368.38,3,90,6,2,0.3
Curcuma longa,姜黄,Jiang Huang,Warm,curcumin,Plasmodium falciparum,4.56,969516,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,368.38,3,90,6,2,0.3
Curcuma longa,姜黄,Jiang Huang,Warm,curcumin,Human immunodeficiency virus type 1 integrase,4.52,969516,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,368.38,3,90,6,2,0.3
Curcuma longa,姜黄,Jiang Huang,Warm,curcumin,Human immunodeficiency virus type 1 integrase,4.52,969516,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,368.38,3,90,6,2,0.3
Curcuma longa,姜黄,Jiang Huang,Warm,curcumin,Human immunodeficiency virus type 1 integrase,4.24,969516,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,368.38,3,90,6,2,0.3
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,dihydrotanshinone I,"Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha",5.69,1149175,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C(C=CC=C43)C,381.4,4,45,3,0,0.4
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,dihydrotanshinone I,"Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha",5.64,1149175,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C(C=CC=C43)C,381.4,4,45,3,0,0.4
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,dihydrotanshinone I,HepG2,5.6,1149175,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C(C=CC=C43)C,381.4,4,45,3,0,0.4
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,dihydrotanshinone I,Hep 3B2,5.5,1149175,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C(C=CC=C43)C,381.4,4,45,3,0,0.4
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,dihydrotanshinone I,HepG2,5.33,1149175,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C(C=CC=C43)C,381.4,4,45,3,0,0.4
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,dihydrotanshinone I,ADMET,5.19,1149175,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C(C=CC=C43)C,381.4,4,45,3,0,0.4
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,dihydrotanshinone I,Tyrosyl-DNA phosphodiesterase 1,5,1149175,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C(C=CC=C43)C,381.4,4,45,3,0,0.4
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,dihydrotanshinone I,Menin/Histone-lysine N-methyltransferase MLL,4.75,1149175,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C(C=CC=C43)C,381.4,4,45,3,0,0.4
Salvia miltiorrhiza,丹参,Dan Shen,Slightly Cold,dihydrotanshinone I,AGS,4.32,1149175,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C(C=CC=C43)C,381.4,4,45,3,0,0.4
Dracocephalum moldavica,香蜂草),Xiang Feng Cao,cold,diosmetin,Cytochrome P450 1B1,7.8,5281612,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,300.26,2,100,6,3,0.27
Dracocephalum moldavica,香蜂草),Xiang Feng Cao,cold,diosmetin,Cytochrome P450 1B1,7.54,5281612,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,300.26,2,100,6,3,0.27
Dracocephalum moldavica,香蜂草),Xiang Feng Cao,cold,diosmetin,Cytochrome P450 1A1,7.05,5281612,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,300.26,2,100,6,3,0.27
Dracocephalum moldavica,香蜂草),Xiang Feng Cao,cold,diosmetin,Cytochrome P450 1A1,6.85,5281612,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,300.26,2,100,6,3,0.27
Dracocephalum moldavica,香蜂草),Xiang Feng Cao,cold,diosmetin,Neutrophil,6.16,5281612,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,300.26,2,100,6,3,0.27
Dracocephalum moldavica,香蜂草),Xiang Feng Cao,cold,diosmetin,Cytochrome P450 1A2,5.61,5281612,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,300.26,2,100,6,3,0.27
Dracocephalum moldavica,香蜂草),Xiang Feng Cao,cold,diosmetin,Monocyte,5.52,5281612,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,300.26,2,100,6,3,0.27
Dracocephalum moldavica,香蜂草),Xiang Feng Cao,cold,diosmetin,Multidrug resistance-associated protein 1,5.52,5281612,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,300.26,2,100,6,3,0.27
Dracocephalum moldavica,香蜂草),Xiang Feng Cao,cold,diosmetin,Unchecked,5.12,5281612,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,300.26,2,100,6,3,0.27
Dracocephalum moldavica,香蜂草),Xiang Feng Cao,cold,diosmetin,Neutrophil,4.99,5281612,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,300.26,2,100,6,3,0.27
Evodia rutaecarpa,吴茱萸,Wu Zhu Yu,Warm,evodiamine,Transient receptor potential cation channel subfamily V member 1,7,442088,CN1[C@@H]2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3,303.36,3,50,3,1,0.6
Evodia rutaecarpa,吴茱萸,Wu Zhu Yu,Warm,evodiamine,Transient receptor potential cation channel subfamily V member 1,6.75,442088,CN1[C@@H]2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3,303.36,3,50,3,1,0.6
Evodia rutaecarpa,吴茱萸,Wu Zhu Yu,Warm,evodiamine,Transient receptor potential cation channel subfamily V member 1,6.48,442088,CN1[C@@H]2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3,303.36,3,50,3,1,0.6
Evodia rutaecarpa,吴茱萸,Wu Zhu Yu,Warm,evodiamine,ADMET,6.47,442088,CN1[C@@H]2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3,303.36,3,50,3,1,0.6
Evodia rutaecarpa,吴茱萸,Wu Zhu Yu,Warm,evodiamine,Transient receptor potential cation channel subfamily V member 1,6.22,442088,CN1[C@@H]2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3,303.36,3,50,3,1,0.6
Evodia rutaecarpa,吴茱萸,Wu Zhu Yu,Warm,evodiamine,Transient receptor potential cation channel subfamily V member 1,6.07,442088,CN1[C@@H]2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3,303.36,3,50,3,1,0.6
Evodia rutaecarpa,吴茱萸,Wu Zhu Yu,Warm,evodiamine,A549,6.01,442088,CN1[C@@H]2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3,303.36,3,50,3,1,0.6
Evodia rutaecarpa,吴茱萸,Wu Zhu Yu,Warm,evodiamine,NON-PROTEIN TARGET,5.94,442088,CN1[C@@H]2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3,303.36,3,50,3,1,0.6
Evodia rutaecarpa,吴茱萸,Wu Zhu Yu,Warm,evodiamine,NON-PROTEIN TARGET,5.91,442088,CN1[C@@H]2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3,303.36,3,50,3,1,0.6
Evodia rutaecarpa,吴茱萸,Wu Zhu Yu,Warm,evodiamine,Cholinesterase,5.33,442088,CN1[C@@H]2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3,303.36,3,50,3,1,0.6
Angelica sinensis,当归,Dang gui,warm,ferulic acid,"Carbonic anhydrase 5A, mitochondrial",5.15,445858,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,194.18,1,66,4,2,0.15
Angelica sinensis,当归,Dang gui,warm,ferulic acid,Carbonic anhydrase 7,5.13,445858,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,194.18,1,66,4,2,0.15
Angelica sinensis,当归,Dang gui,warm,ferulic acid,Carbonic anhydrase 6,5.07,445858,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,194.18,1,66,4,2,0.15
Angelica sinensis,当归,Dang gui,warm,ferulic acid,Carbonic anhydrase 14,5.03,445858,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,194.18,1,66,4,2,0.15
Angelica sinensis,当归,Dang gui,warm,ferulic acid,Carbonic anhydrase 12,5.01,445858,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,194.18,1,66,4,2,0.15
Angelica sinensis,当归,Dang gui,warm,ferulic acid,Carbonic anhydrase 9,5.01,445858,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,194.18,1,66,4,2,0.15
Angelica sinensis,当归,Dang gui,warm,ferulic acid,"Carbonic anhydrase 5B, mitochondrial",4.98,445858,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,194.18,1,66,4,2,0.15
Angelica sinensis,当归,Dang gui,warm,ferulic acid,Carbonic anhydrase 4,4.97,445858,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,194.18,1,66,4,2,0.15
Angelica sinensis,当归,Dang gui,warm,ferulic acid,Carbonic anhydrase 13,4.91,445858,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,194.18,1,66,4,2,0.15
Rhus chinensis,五倍子,Wu Bei Zi,cold,fisetin,Rattus norvegicus,6.7,5281614,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,286.24,2,110,6,4,0.25
Rhus chinensis,五倍子,Wu Bei Zi,cold,fisetin,Glycogen synthase kinase-3,6.38,5281614,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,286.24,2,110,6,4,0.25
Rhus chinensis,五倍子,Wu Bei Zi,cold,fisetin,Cyclin-dependent kinase 5/CDK5 activator 1,6.24,5281614,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,286.24,2,110,6,4,0.25
Rhus chinensis,五倍子,Wu Bei Zi,cold,fisetin,Cyclin-dependent kinase 1/cyclin B,6.1,5281614,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,286.24,2,110,6,4,0.25
Rhus chinensis,五倍子,Wu Bei Zi,cold,fisetin,Cyclin-dependent kinase 6,6.07,5281614,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,286.24,2,110,6,4,0.25
Rhus chinensis,五倍子,Wu Bei Zi,cold,fisetin,Enoyl-acyl-carrier protein reductase,6,5281614,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,286.24,2,110,6,4,0.25
Rhus chinensis,五倍子,Wu Bei Zi,cold,fisetin,Fatty acid synthase,5.7,5281614,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,286.24,2,110,6,4,0.25
Rhus chinensis,五倍子,Wu Bei Zi,cold,fisetin,Human immunodeficiency virus type 1 integrase,5.07,5281614,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,286.24,2,110,6,4,0.25
Rhus chinensis,五倍子,Wu Bei Zi,cold,fisetin,Lactoylglutathione lyase,4.88,5281614,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,286.24,2,110,6,4,0.25
Rhus chinensis,五倍子,Wu Bei Zi,cold,fisetin,Human immunodeficiency virus type 1 integrase,4.55,5281614,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,286.24,2,110,6,4,0.25
Alpinia officunarum,高良姜,Gao Liang Jiang,warm,galangin,Adenosine receptor A1,6.06,5281616,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,270.24,2,90,5,3,0.24
Alpinia officunarum,高良姜,Gao Liang Jiang,warm,galangin,Adenosine A2 receptor,6.01,5281616,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,270.24,2,90,5,3,0.24
Alpinia officunarum,高良姜,Gao Liang Jiang,warm,galangin,Adenosine receptor A2a,6.01,5281616,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,270.24,2,90,5,3,0.24
Alpinia officunarum,高良姜,Gao Liang Jiang,warm,galangin,Adenosine receptor A3,5.5,5281616,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,270.24,2,90,5,3,0.24
Alpinia officunarum,高良姜,Gao Liang Jiang,warm,galangin,ATP-dependent translocase ABCB1,5.23,5281616,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,270.24,2,90,5,3,0.24
Alpinia officunarum,高良姜,Gao Liang Jiang,warm,galangin,Adenosine receptor A2a,4.78,5281616,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,270.24,2,90,5,3,0.24
Alpinia officunarum,高良姜,Gao Liang Jiang,warm,galangin,Adenosine receptor A2a,4.74,5281616,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,270.24,2,90,5,3,0.24
Alpinia officunarum,高良姜,Gao Liang Jiang,warm,galangin,Adenosine receptor A2a,4.48,5281616,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,270.24,2,90,5,3,0.24
Rhus chinensis,五倍子,Wu Bei Zi,cold,gallic acid,NON-PROTEIN TARGET,6.28,370,C1=C(C=C(C(=C1O)O)O)C(=O)O,170.12,0.5,97,5,4,0.05
Rhus chinensis,五倍子,Wu Bei Zi,cold,gallic acid,Radical scavenging activity,5.38,370,C1=C(C=C(C(=C1O)O)O)C(=O)O,170.12,0.5,97,5,4,0.05
Rhus chinensis,五倍子,Wu Bei Zi,cold,gallic acid,Radical scavenging activity,5.22,370,C1=C(C=C(C(=C1O)O)O)C(=O)O,170.12,0.5,97,5,4,0.05
Rhus chinensis,五倍子,Wu Bei Zi,cold,gallic acid,Radical scavenging activity,5.14,370,C1=C(C=C(C(=C1O)O)O)C(=O)O,170.12,0.5,97,5,4,0.05
Rhus chinensis,五倍子,Wu Bei Zi,cold,gallic acid,P-selectin,4.72,370,C1=C(C=C(C(=C1O)O)O)C(=O)O,170.12,0.5,97,5,4,0.05
Rhus chinensis,五倍子,Wu Bei Zi,cold,gallic acid,L-selectin,4.56,370,C1=C(C=C(C(=C1O)O)O)C(=O)O,170.12,0.5,97,5,4,0.05
Rhus chinensis,五倍子,Wu Bei Zi,cold,gallic acid,Autoinducer 2-binding periplasmic protein LuxP,4.3,370,C1=C(C=C(C(=C1O)O)O)C(=O)O,170.12,0.5,97,5,4,0.05
Rhus chinensis,五倍子,Wu Bei Zi,cold,gallic acid,L1210,4.3,370,C1=C(C=C(C(=C1O)O)O)C(=O)O,170.12,0.5,97,5,4,0.05
Rhus chinensis,五倍子,Wu Bei Zi,cold,gallic acid,Mus musculus,4.2,370,C1=C(C=C(C(=C1O)O)O)C(=O)O,170.12,0.5,97,5,4,0.05
Rhus chinensis,五倍子,Wu Bei Zi,cold,gallic acid,Squalene monooxygenase,4.14,370,C1=C(C=C(C(=C1O)O)O)C(=O)O,170.12,0.5,97,5,4,0.05
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,glabridin,Tyrosinase,7.05,124052,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C,324.37,3,70,4,2,0.47
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,glabridin,Mushroom tyrosinase,7,124052,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C,324.37,3,70,4,2,0.47
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,glabridin,Unchecked,5.22,124052,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C,324.37,3,70,4,2,0.47
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,glabridin,Transthyretin,5.19,124052,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C,324.37,3,70,4,2,0.47
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,glabridin,Cytochrome P450 3A4,5.16,124052,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C,324.37,3,70,4,2,0.47
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,glabridin,Tyrosine-protein phosphatase non-receptor type 1,4.34,124052,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C,324.37,3,70,4,2,0.47
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,glabridin,Tyrosine-protein phosphatase non-receptor type 1,4.32,124052,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C,324.37,3,70,4,2,0.47
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,glabridin,Tyrosine-protein phosphatase non-receptor type 1,4.13,124052,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C,324.37,3,70,4,2,0.47
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,glycyrrhetinic acid,TERT-RPE1,4.2,14193987,CC(CC(=O)/C=C(\\C)/[C@H]1C[C@@H]([C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)O)C)C)O)C(=O)O,514.6,5,70,4,2,0.6
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,glycyrrhetinic acid,CT26,4.15,14193987,CC(CC(=O)/C=C(\\C)/[C@H]1C[C@@H]([C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)O)C)C)O)C(=O)O,514.6,5,70,4,2,0.6
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,glycyrrhetinic acid,MCF 7.00,4.12,14193987,CC(CC(=O)/C=C(\\C)/[C@H]1C[C@@H]([C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)O)C)C)O)C(=O)O,514.6,5,70,4,2,0.6
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,glycyrrhetinic acid,HCT-116,4.12,14193987,CC(CC(=O)/C=C(\\C)/[C@H]1C[C@@H]([C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)O)C)C)O)C(=O)O,514.6,5,70,4,2,0.6
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,glycyrrhetinic acid,HT-29,4.11,14193987,CC(CC(=O)/C=C(\\C)/[C@H]1C[C@@H]([C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)O)C)C)O)C(=O)O,514.6,5,70,4,2,0.6
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,glycyrrhetinic acid,HCT-8,4.08,14193987,CC(CC(=O)/C=C(\\C)/[C@H]1C[C@@H]([C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)O)C)C)O)C(=O)O,514.6,5,70,4,2,0.6
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,glycyrrhetinic acid,MDA-MB-231,4.07,14193987,CC(CC(=O)/C=C(\\C)/[C@H]1C[C@@H]([C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)O)C)C)O)C(=O)O,514.6,5,70,4,2,0.6
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,glycyrrhetinic acid,PC-3,4.05,14193987,CC(CC(=O)/C=C(\\C)/[C@H]1C[C@@H]([C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)O)C)C)O)C(=O)O,514.6,5,70,4,2,0.6
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,glycyrrhetinic acid,4T1,4.02,14193987,CC(CC(=O)/C=C(\\C)/[C@H]1C[C@@H]([C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)O)C)C)O)C(=O)O,514.6,5,70,4,2,0.6
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,glycyrrhizin,11-beta-hydroxysteroid dehydrogenase type 2,9.15,14982,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)(C)C(=O)O,822.94,0,>200,>15,>8,0.1
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,glycyrrhizin,11-beta-hydroxysteroid dehydrogenase type 2,9,14982,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)(C)C(=O)O,822.94,0,>200,>15,>8,1.1
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,glycyrrhizin,11-beta-hydroxysteroid dehydrogenase 1,8.1,14982,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)(C)C(=O)O,822.94,0,>200,>15,>8,2.1
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,glycyrrhizin,11-beta-hydroxysteroid dehydrogenase 1,8,14982,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)(C)C(=O)O,822.94,0,>200,>15,>8,3.1
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,glycyrrhizin,11-beta-hydroxysteroid dehydrogenase 1,8,14982,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)(C)C(=O)O,822.94,0,>200,>15,>8,4.1
Citrus aurantium,枳实,Zhi Shi,Slightly Cold,hesperetin,Cytochrome P450 1B1,6.29,72281,COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O,302.28,2,100,6,3,0.27
Citrus aurantium,枳实,Zhi Shi,Slightly Cold,hesperetin,Monocyte,5.68,72281,COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O,302.28,2,100,6,3,0.27
Citrus aurantium,枳实,Zhi Shi,Slightly Cold,hesperetin,Thyrotropin receptor,5.6,72281,COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O,302.28,2,100,6,3,0.27
Citrus aurantium,枳实,Zhi Shi,Slightly Cold,hesperetin,Cytochrome P450 1A1,5.55,72281,COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O,302.28,2,100,6,3,0.27
Citrus aurantium,枳实,Zhi Shi,Slightly Cold,hesperetin,Cytochrome P450 2C19,5.3,72281,COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O,302.28,2,100,6,3,0.27
Citrus aurantium,枳实,Zhi Shi,Slightly Cold,hesperetin,Ras-related protein Rab-9A,5.2,72281,COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O,302.28,2,100,6,3,0.27
